,link,summary,templates,related_status,related_timestep,source
15,https://drive.google.com/file/d/1u_eBDX1EZ4fqTxtR_OIy6YwLZnVR9-FR/view?usp=sharing,"(0:01) Risk of physical damage! In 1m there's a speedboat in the drone's path. [SEP]
(0:03) Risk of physical damage! The drone is now flying .5m from the speedboat. [SEP]",(0:01) The drone is facing the risk of physical damage. There is a speed boat 1 in the drone's flight path at a distance of 4.0m.,,"{""time_stamp"": ""0:01"", ""name"": ""speed boat 1"", ""Distance"": 4.0}","{""time_stamp"": ""0:01"", ""name"": ""speed boat 1"", ""Distance"": 4.0}"
29,https://drive.google.com/file/d/1prNyTp5g7OhKPzULWfoH_EwIMarKfG4J/view?usp=sharing,"(0:00) Risk of physical damage! In 5m there's a sailboat which is in the drone's path. [SEP]
(0:03) Risk of physical damage! Now the sailboat in the drone's path is 1m away. [SEP]
(0:04) Risk of physical damage! The sailboat in the path is now .5m from the drone. [SEP]",(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 5.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 1.0m. (0:04) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,,"{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 5.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 5.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}"
37,https://drive.google.com/file/d/1cmnvPkYMAilq7FmBr_trjf7ypHBf770Y/view?usp=sharing,Risk of physical damage! The drone's battery is empty and it's flying at a .5m altitude in strong wind. [SEP],The flying drone is runing out of battery with only 0.0% charge.The drone is flying in a strong wind of 16.0m/s with a low battery level at 0.0%.The drone is facing a risk of physical damage as it's flying over water surface at a very low altitude of 0.5m height.,"{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 16.0}{""Altitude (m)"": 0.5, ""flying over"": ""water""}",,"{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 16.0}{""Altitude (m)"": 0.5, ""flying over"": ""water""}"
21,https://drive.google.com/file/d/1FDCCI63T1nw4raMYEI-xMu7D1FbTRlwJ/view?usp=sharing,"Risk of physical damage! The drone is flying at a 20m altitude with low battery. [SEP]
(0:00) Risk of physical damage! In 1m there's a person on a sailboat in the drone's path! The sailboat is also 1m away. [SEP]
(0:01) Risk of physical and human damage! The drone is flying .8m from a person! [SEP]
(0:02) Risk of physical damage! The sailboat is now .5m away and in the flight path. [SEP]
(0:03) Risk of physical damage!The drone is flying .3m from the sailboat. [SEP]","The flying drone is runing out of battery with only 20.0% charge.(0:00) The drone is risking physical damage. It's flying too close to the moving person on sailboat at a distance of 1.0m. (0:01) The drone is risking physical damage. It's flying too close to the moving person on sailboat at a distance of 0.8m.(0:00) The drone is facing the risk of physical damage. There is a person on sailboat in the drone's flight path at a distance of 1.0m. (0:02) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.(0:00) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury. (0:01) The drone is flying very close to a human at a distance of 0.8m, and might cause human injury.","{""Battery_level"": 20.0}","{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""name"": ""person on sailboat"", ""Distance"": 0.8}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""Distance"": 0.8}","{""Battery_level"": 20.0}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""name"": ""person on sailboat"", ""Distance"": 0.8}{""time_stamp"": ""0:00"", ""name"": ""person on sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:02"", ""name"": ""sailboat"", ""Distance"": 0.5}{""time_stamp"": ""0:00"", ""Distance"": 1.0} {""time_stamp"": ""0:01"", ""Distance"": 0.8}"
45,https://drive.google.com/file/d/1NvfqsFIcZEEzQAqIif7J9WAn5rsoYpVT/view?usp=sharing,"(0:00) Risk of physical damage! The drone is flying .5m from a speedboat. [SEP]
(0:03) Risk of physical damage! Now there's a person on the speedboat 1m from the drone. [SEP]
(0:06) Risk of physical damage! The speedboat is in the drone's path and .5m away. [SEP]","The drone is facing a risk of physical damage as it's flying over water surface at a very low altitude of 0.0m height.(0:03) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 1.0m.(0:06) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.5m.(0:03) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury.","{""Altitude (m)"": 0.0, ""flying over"": ""water""}","{""time_stamp"": ""0:03"", ""name"": ""person on speed boat"", ""Distance"": 1.0}{""time_stamp"": ""0:06"", ""name"": ""speed boat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}","{""Altitude (m)"": 0.0, ""flying over"": ""water""}{""time_stamp"": ""0:03"", ""name"": ""person on speed boat"", ""Distance"": 1.0}{""time_stamp"": ""0:06"", ""name"": ""speed boat"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""Distance"": 1.0}"
33,https://drive.google.com/file/d/1iMMA4SyEJ2awziOAdsooM4v_GuTjaiaZ/view?usp=sharing,Risk of physical damage and lost connection! The battery is empty and the drone is 4434m from the remote. It's flying at a 50m altitude in strong wind. [SEP],The drone has only 0.0% battery and is 4434.0m away from the remote control.The flying drone is runing out of battery with only 0.0% charge.The drone is flying in a strong wind of 21.0m/s with a low battery level at 0.0%.,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}",,"{""Distance_from_remote_control (m)"": 4434.0, ""Battery_level"": 0.0}{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 21.0}"
16,https://drive.google.com/file/d/1rnURUy-ynR4QQ53Y9CQm7D7Lu8Nb8y4R/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:00) Risk of physical damage! There's a speedboat in the drone's flight path at a distance of 5m. [SEP]
(0:03) Risk of physical damage! Now the speedboat is only .5m away. There's also a person on the speedboat only 1m away. [SEP]
(0:04) Risk of physical damage! Now the speedboat is in the drone's flight path at a distance of .4m. [SEP]","The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 1.0m.(0:00) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 5.0m. (0:04) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.4m.(0:03) The drone is flying very close to a human at a distance of 1.0m, and might cause human injury.","{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""person on speed boat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""speed boat"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""speed boat"", ""Distance"": 0.4}{""time_stamp"": ""0:03"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""person on speed boat"", ""Distance"": 1.0}{""time_stamp"": ""0:00"", ""name"": ""speed boat"", ""Distance"": 5.0} {""time_stamp"": ""0:04"", ""name"": ""speed boat"", ""Distance"": 0.4}{""time_stamp"": ""0:03"", ""Distance"": 1.0}"
38,https://drive.google.com/file/d/1mVcUj65cKla6mvWn54jey3OqJ2lQkA9g/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 5m. [SEP]
(0:00) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 2m. [SEP]
(0:03) Risk of physical and human damage! There's a person only .5m away. [SEP]
(0:04) Risk of physical and human damage! Now the person is only .2m away. [SEP]","The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving person opening arms on sailboat at a distance of 0.5m. (0:04) The drone is risking physical damage. It's flying too close to the moving person opening arms on sailboat at a distance of 0.2m.(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 2.0m.(0:03) The drone is flying very close to a human at a distance of 0.5m, and might cause human injury. (0:04) The drone is flying very close to a human at a distance of 0.2m, and might cause human injury.","{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.2}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""Distance"": 0.2}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.2}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""Distance"": 0.5} {""time_stamp"": ""0:04"", ""Distance"": 0.2}"
41,https://drive.google.com/file/d/1E9FwLthezi1x1eJQ3gaSgY8jAy3CQfQ3/view?usp=sharing,"Risk of physical damage! The drone has an empty battery it’s flying in strong wind. [SEP]
(0:00) Risk of physical damage! The drone is flying 1m from a speedboat. [SEP]
(0:03) Risk of physical damage! Now the speedboat is .8m away and in the drone's flight path. [SEP]
(0:05) Risk of physical damage! The sea is .1m away and in the drone's path. [SEP]",The drone is flying in a strong wind of 14.0m/s with a low battery level at 0.0%.The drone is facing a risk of physical damage as it's flying over water surface at a very low altitude of 0.0m height.(0:03) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.8m. (0:05) The drone is facing the risk of physical damage. There is a sea in the drone's flight path at a distance of 0.1m.,"{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 14.0}{""Altitude (m)"": 0.0, ""flying over"": ""water""}","{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.8} {""time_stamp"": ""0:05"", ""name"": ""sea"", ""Distance"": 0.1}","{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 14.0}{""Altitude (m)"": 0.0, ""flying over"": ""water""}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.8} {""time_stamp"": ""0:05"", ""name"": ""sea"", ""Distance"": 0.1}"
19,https://drive.google.com/file/d/11P9Ni3C7zAF4e1V5sVKM-V_eSphtSEmO/view?usp=sharing,Risk of physical damage! The drone is flying at a 2m altitude with an empty battery. [SEP],The flying drone is runing out of battery with only 0.0% charge.,"{""Battery_level"": 0.0}",,"{""Battery_level"": 0.0}"
13,https://drive.google.com/file/d/1h_SrOVzGp_Zru4ZLuY9R4qKNo6yXgyfN/view?usp=sharing,"Risk of physical damage! The drone's battery is low and it's flying at a 3m altitude. [SEP]
(0:00) Risk of physical damage! The drone is flying toward a sailboat 8m ahead. [SEP]
(0:03) Risk of physical damage! That sailboat that's in the drone's path is now .5m away. [SEP]",The drone is flying with a damaged frame.(0:00) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 8.0m. (0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:00"", ""name"": ""sailboat"", ""Distance"": 8.0} {""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 0.5}"
2,https://drive.google.com/file/d/1iYFh5Sc4z6X9a1xHCF3cudQi_F8TxDFR/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 3m. [SEP]
(0:00) Risk of physical damage! There's a speedboat only 2m away. [SEP]
(0:01) Risk of physical damage! There's a person on the speedboat only 2m away. [SEP]
(0:03) Risk of physical damage! Now the speedboat is in the drone's flight path at a distance of .3m. [SEP]",The flying drone is runing out of battery with only 20.0% charge.(0:01) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 2.0m.(0:03) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 0.3m.,"{""Battery_level"": 20.0}","{""time_stamp"": ""0:01"", ""name"": ""person on speed boat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.3}","{""Battery_level"": 20.0}{""time_stamp"": ""0:01"", ""name"": ""person on speed boat"", ""Distance"": 2.0}{""time_stamp"": ""0:03"", ""name"": ""speed boat"", ""Distance"": 0.3}"
0,https://drive.google.com/file/d/1ffTqmrWsXkucziVHSdKdgVHdFCQXUG8w/view?usp=sharing,"(0:01) Risk of physical damage! There's a speedboat in the drone's flight path at a distance of 3m. [SEP]
(0:03) Risk of physical damage! Now the speedboat is only .5m away. [SEP]",(0:02) The drone is risking physical damage. It's flying too close to the moving person on speed boat at a distance of 3.0m.(0:01) The drone is facing the risk of physical damage. There is a speed boat in the drone's flight path at a distance of 3.0m.,,"{""time_stamp"": ""0:02"", ""name"": ""person on speed boat"", ""Distance"": 3.0}{""time_stamp"": ""0:01"", ""name"": ""speed boat"", ""Distance"": 3.0}","{""time_stamp"": ""0:02"", ""name"": ""person on speed boat"", ""Distance"": 3.0}{""time_stamp"": ""0:01"", ""name"": ""speed boat"", ""Distance"": 3.0}"
8,https://drive.google.com/file/d/1_xY-zrPcdY_PZrEJBcQPwvJ9hmAZpCBm/view?usp=sharing,"Risk of physical damage! The drone has an empty battery. It’s flying at an altitude of 7m. [SEP]
(0:03) Risk of physical damage! There's a sailboat in the drone's flight path at a distance of 1m. [SEP]
(0:04) Risk of physical damage! Now the sailboat is in the drone's flight path at a distance of .5m. [SEP]",The flying drone is runing out of battery with only 0.0% charge.(0:03) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 1.0m. (0:04) The drone is facing the risk of physical damage. There is a sailboat in the drone's flight path at a distance of 0.5m.,"{""Battery_level"": 0.0}","{""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}","{""Battery_level"": 0.0}{""time_stamp"": ""0:03"", ""name"": ""sailboat"", ""Distance"": 1.0} {""time_stamp"": ""0:04"", ""name"": ""sailboat"", ""Distance"": 0.5}"
7,https://drive.google.com/file/d/1bBsg0QqD-I-oCyTbD0N6e-G3Vy3NGzy5/view?usp=sharing,(0:04) Risk of physical and human damage! In .7m there's a person in the drone's path. [SEP],"(0:04) The drone is risking physical damage. It's flying too close to the moving person opening arms on sailboat at a distance of 0.7m.(0:01) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 10.0m. (0:04) The drone is facing the risk of physical damage. There is a person opening arms on sailboat in the drone's flight path at a distance of 0.7m.(0:04) The drone is flying very close to a human at a distance of 0.7m, and might cause human injury.",,"{""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:04"", ""Distance"": 0.7}","{""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:01"", ""name"": ""person opening arms on sailboat"", ""Distance"": 10.0} {""time_stamp"": ""0:04"", ""name"": ""person opening arms on sailboat"", ""Distance"": 0.7}{""time_stamp"": ""0:04"", ""Distance"": 0.7}"
43,https://drive.google.com/file/d/1sfYJSG5Y1KrHNsCxjXOI8jH7Y0aOt0df/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 1m in strong winds. [SEP]
(0:00) Risk of physical damage! The drone is flying 1m from a speedboat. [SEP]
(0:03) Risk of physical damage! Now the speedboat is .5m away. [SEP]",The flying drone is runing out of battery with only 10.0% charge.The drone is flying in a strong wind of 18.0m/s with a low battery level at 10.0%.,"{""Battery_level"": 10.0}{""Battery_level"": 10.0, ""WindSpeed (m/s)"": 18.0}",,"{""Battery_level"": 10.0}{""Battery_level"": 10.0, ""WindSpeed (m/s)"": 18.0}"
36,https://drive.google.com/file/d/1cmnvPkYMAilq7FmBr_trjf7ypHBf770Y/view?usp=sharing,Risk of physical damage! The drone has an empty battery. It’s flying at an altitude of .5m in strong wind. [SEP],The flying drone is runing out of battery with only 0.0% charge.The drone is flying in a strong wind of 16.0m/s with a low battery level at 0.0%.The drone is facing a risk of physical damage as it's flying over water surface at a very low altitude of 0.5m height.,"{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 16.0}{""Altitude (m)"": 0.5, ""flying over"": ""water""}",,"{""Battery_level"": 0.0}{""Battery_level"": 0.0, ""WindSpeed (m/s)"": 16.0}{""Altitude (m)"": 0.5, ""flying over"": ""water""}"
