,link,summary,templates,related_status,related_timestep,source
26,https://drive.google.com/file/d/1IkiCOCuBo8FPPheDJAaeGrIL36qwRahs/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of .5m. [SEP]
(0:03) Risk of physical damage! There's a car only 1m away. [SEP]",The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.0m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0}"
3,https://drive.google.com/file/d/1ekPH6Iij5cOPro6K2nnBp7HWFTjpY-zI/view?usp=sharing,(0:03) Risk of physical damage! In .2m there's a car in the flight path. [SEP],(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m. (0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,,"{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}","{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}"
25,https://drive.google.com/file/d/1HPqM3Mqt957F-f1HTaImAPQNgBzZfS1e/view?usp=sharing,"Risk of physical damage! The drone is flying in strong winds with a low battery. It's altitude is 2m. [SEP]
(0:04) Risk of physical damage! There's a car .4m from the drone. [SEP]",The flying drone is runing out of battery with only 20% charge.The drone is flying in a strong wind of 21m/s with a low battery level at 20%.(0:02) The drone is risking physical damage. It's flying too close to the moving car at a distance of 3.0m. (0:04) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.4m.,"{""Battery_level"": 20}{""Battery_level"": 20, ""WindSpeed (m/s)"": 21}","{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:04"", ""name"": ""car"", ""Distance"": 0.4}","{""Battery_level"": 20}{""Battery_level"": 20, ""WindSpeed (m/s)"": 21}{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 3.0} {""time_stamp"": ""0:04"", ""name"": ""car"", ""Distance"": 0.4}"
45,https://drive.google.com/file/d/1DOr3dWyTNDWYeueYu9s34JsrQN94fZqf/view?usp=sharing,nan,,,,
5,https://drive.google.com/file/d/1S4rbzXUQ9HeDjbDYGVsrSyo0wRXRGbdx/view?usp=sharing,"Risk of physical damage! The frame is damaged and the battery is running low. The drone is flying backwards and at a 3m altitude. [SEP]
(0:03) Risk of physical damage! There's a car 1m from the drone. [SEP]
(0:06) Risk of physical damage! Now the car is in the drone's path and only .2m away. [SEP]",The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.0m. (0:06) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.(0:06) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}","{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 1.0} {""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:06"", ""name"": ""car"", ""Distance"": 0.2}"
12,https://drive.google.com/file/d/15p8XmdyiTzJ9gUMffvXCv7nUF5vVAkz2/view?usp=sharing,Risk of physical damage! The drone has a damaged frame and low battery. It’s flying at an altitude of 3m. [SEP],The flying drone is runing out of battery with only 20% charge.The drone is flying with a damaged frame.(0:03) The drone is risking physical damage. It's flying too close to the moving - at a distance of 1.0m.(0:03) The drone is facing the risk of physical damage. There is a - in the drone's flight path at a distance of 1.0m.,"{""Battery_level"": 20}{""Normal_frame"": false}","{""time_stamp"": ""0:03"", ""name"": ""-"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""-"", ""Distance"": 1.0}","{""Battery_level"": 20}{""Normal_frame"": false}{""time_stamp"": ""0:03"", ""name"": ""-"", ""Distance"": 1.0}{""time_stamp"": ""0:03"", ""name"": ""-"", ""Distance"": 1.0}"
20,https://drive.google.com/file/d/1srY5QomMXViMOgJ2o--xj99M-0JXgo7C/view?usp=sharing,"Risk of physical damage! The drone has low battery. It’s flying at an altitude of 1.5m. [SEP]
(0:03) Risk of physical damage! There's a car in the drone's flight path at a distance of .2m. [SEP]",(0:03) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.2m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 0.2m.,,"{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}","{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 0.2}"
42,https://drive.google.com/file/d/1UeMiBX79nMiHRIJmThLeIWLGM31yHEDb/view?usp=sharing,(0:03) Risk of physical damage! There's a car in the drone's flight path at a distance of 5m. [SEP],(0:05) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.5m.(0:03) The drone is facing the risk of physical damage. There is a car in the drone's flight path at a distance of 5.0m.,,"{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 5.0}","{""time_stamp"": ""0:05"", ""name"": ""car"", ""Distance"": 0.5}{""time_stamp"": ""0:03"", ""name"": ""car"", ""Distance"": 5.0}"
41,https://drive.google.com/file/d/1Mz9jHp5hjvu2qGmsrNZZBI9cBzJELyRR/view?usp=sharing,nan,,,,
14,https://drive.google.com/file/d/19Bidzyk52PnO2IKslXNHl6o0RcGrFVVV/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:01) Risk of physical damage! There's a car only .5m away. [SEP]
(0:02) Risk of physical damage! Now the car is 1.5m away. [SEP]",The drone is flying with a damaged frame.(0:01) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.5m. (0:02) The drone is risking physical damage. It's flying too close to the moving car at a distance of 1.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 0.5} {""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 1.5}","{""Normal_frame"": false}{""time_stamp"": ""0:01"", ""name"": ""car"", ""Distance"": 0.5} {""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 1.5}"
30,https://drive.google.com/file/d/1mEY1QiL4vcf7DwNpFBqgRM4LpdXC1Wbc/view?usp=sharing,Risk of physical damage! The drone has a damaged frame. [SEP],The drone is flying with a damaged frame.,"{""Normal_frame"": false}",,"{""Normal_frame"": false}"
22,https://drive.google.com/file/d/1P3Ng8uW8M5MIS4T9RQ7Lczne1vtjb4aD/view?usp=sharing,"Risk of physical damage! The drone has a damaged frame. [SEP]
(0:00) Risk of physical damage! There's a car only .5m away. [SEP]",The drone is flying with a damaged frame.(0:02) The drone is risking physical damage. It's flying too close to the moving car at a distance of 0.5m.,"{""Normal_frame"": false}","{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 0.5}","{""Normal_frame"": false}{""time_stamp"": ""0:02"", ""name"": ""car"", ""Distance"": 0.5}"
31,https://drive.google.com/file/d/1mEY1QiL4vcf7DwNpFBqgRM4LpdXC1Wbc/view?usp=sharing,Risk of physical damage! The drone's frame is in need of repair. [SEP],The drone is flying with a damaged frame.,"{""Normal_frame"": false}",,"{""Normal_frame"": false}"
